course_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
21 Steps to Start Speaking More Smoothly & Confidently,0,0.0405947617432,0.112123627942,0,0,0.764274529842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788795007352,0,0,0,0,0,0
Ayurvedic Yoga for your Dosha,0.337200862517,0,0,0,0,0,0,0,0.600992107371,0,0,0,0,0,0.0584046632478,0,0,0,0,0,0,0,0,0,0,0
Russian Language and Literature,0,0,0,0,0.294337762668,0.125940297382,0,0.0289194236612,0,0,0,0,0,0,0,0,0,0,0,0.546571747058,0,0,0,0,0,0
Yoga as Meditation,0.0993828723573,0,0,0,0,0.153449782192,0,0,0.360512566191,0,0,0,0.299135231332,0,0,0,0,0,0.0406627029,0,0,0,0.0105580644562,0,0,0.0273017102205
Productivity Management Formula,0,0.408579590791,0,0,0,0.313742998569,0.0925647162456,0,0.0678852549649,0,0,0,0,0,0,0,0,0,0,0,0,0.0991593846167,0,0,0,0
Introduction to Programming with MATLAB,0.0884205086791,0,0,0,0,0,0,0,0,0,0,0,0,0.327217997736,0,0.561568801439,0,0,0,0,0,0,0,0,0.0151003844531,0
Silicon Valley - A beginners guide,0,0,0,0.0293420414185,0,0,0.773635543323,0,0,0,0,0,0,0,0,0.045333802523,0,0,0,0.132230788032,0,0,0,0,0.0163750296351,0
Data Mining Capstone,0,0.410490928825,0,0.0308163390177,0,0,0,0,0,0,0.0292105455092,0.139254316472,0.0572624093138,0,0.207715058723,0.10166397419,0,0,0,0,0,0,0,0,0,0.0203513452748
元スターバックス日本代表 岩田松雄のリーダーに贈る言葉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365133161135,0,0,0.404097608089,0,0,0,0,0,0,0,0
Startup Engineering,0,0,0,0.0815746459817,0,0,0.105079699128,0,0,0,0.126200053341,0.195252766412,0,0.0904400043866,0,0.114364692136,0,0,0,0.200621972247,0,0,0.0723374379519,0,0,0
Moodle 2 для новичков,0,0,0,0.221555155647,0,0,0,0,0,0,0.612654368472,0.145709835642,0,0,0,0,0,0,0,0,0,0,0.0124576326156,0,0,0
Corporate Financial Decision-Making for Value Creation,0,0.525432385242,0,0.0112565946214,0,0,0,0,0,0,0,0,0.131246144147,0.0176839032839,0,0.222972322342,0,0,0,0,0,0,0,0,0.0866910837007,0
艺术史,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615
Physics 12: Classical Mechanics,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791170460362,0.0348910837874,0.222048891447,0,0,0,0.0466681351469,0,0,0.0561849619938,0.55539187589,0,0
McREL Overview of Formative Assessment,0,0.149298002558,0,0.614960812409,0,0,0,0.0178029023573,0,0,0.136492286123,0,0,0,0,0,0,0,0.0286282256074,0.0464911165343,0,0,0,0,0,0
